,id_loc,Annee,suffrage,1_tour,2_tour
562,83,1969,Exprimés,206481,167394.0
563,83,1969,Votants,209049,179117.0
564,53,1969,Exprimés,94650,83808.0
565,53,1969,Blancs et nuls,1588,5158.0
566,53,1969,Inscrits,122625,122625.0
567,53,1969,Votants,96238,88966.0
568,85,1969,Votants,127795,120951.0
569,85,1969,Blancs et nuls,2518,4807.0
570,85,1969,Exprimés,125277,116144.0
571,85,1969,Inscrits,154557,154557.0
572,87,1969,Blancs et nuls,4133,16473.0
573,87,1969,Inscrits,378213,378213.0
574,87,1969,Votants,292870,249936.0
575,87,1969,Exprimés,288737,233463.0
576,88,1969,Votants,95409,88432.0
577,88,1969,Exprimés,93885,83787.0
578,88,1969,Blancs et nuls,1524,4645.0
579,88,1969,Inscrits,121014,121014.0
580,89,1969,Exprimés,267674,236438.0
581,89,1969,Blancs et nuls,2486,10675.0
582,89,1969,Votants,270160,247113.0
583,89,1969,Inscrits,340344,340344.0
584,90,1969,Blancs et nuls,7861,20528.0
585,90,1969,Inscrits,495336,495336.0
586,90,1969,Exprimés,372159,335097.0
587,90,1969,Votants,380020,355625.0
588,91,1969,Votants,121065,112222.0
589,91,1969,Blancs et nuls,1530,6631.0
590,91,1969,Exprimés,119535,105591.0
591,91,1969,Inscrits,156459,156459.0
592,93,1969,Inscrits,1336423,1336423.0
593,93,1969,Blancs et nuls,17651,89462.0
594,93,1969,Exprimés,1087054,845504.0
595,93,1969,Votants,1104705,934966.0
596,96,1969,Exprimés,234899,188904.0
597,96,1969,Inscrits,294322,294322.0
598,96,1969,Blancs et nuls,3622,17389.0
599,96,1969,Votants,238521,206293.0
600,97,1969,Inscrits,170261,170261.0
601,97,1969,Exprimés,133183,124678.0
602,97,1969,Blancs et nuls,1653,4782.0
603,97,1969,Votants,134836,129460.0
604,99,1969,Blancs et nuls,10424,59644.0
605,99,1969,Votants,641213,551131.0
606,99,1969,Exprimés,630789,491487.0
607,99,1969,Inscrits,772822,772822.0
608,102,1969,Blancs et nuls,2791,17215.0
609,102,1969,Votants,246161,219571.0
610,102,1969,Exprimés,243370,202356.0
611,102,1969,Inscrits,323866,323866.0
612,104,1969,Blancs et nuls,2756,11424.0
613,104,1969,Inscrits,315272,315272.0
614,104,1969,Exprimés,242569,227868.0
615,104,1969,Votants,245325,239292.0
616,59,1969,Blancs et nuls,1342,6878.0
617,59,1969,Votants,107292,98689.0
618,59,1969,Inscrits,141310,141310.0
619,59,1969,Exprimés,105950,91811.0
620,105,1969,Votants,124842,114911.0
621,105,1969,Inscrits,169909,169909.0
622,105,1969,Blancs et nuls,1648,9232.0
623,105,1969,Exprimés,123194,105679.0
624,14,1969,Inscrits,470873,470873.0
625,14,1969,Votants,347530,337975.0
626,14,1969,Blancs et nuls,7155,10971.0
627,14,1969,Exprimés,340375,327004.0
628,49,1969,Votants,263437,257011.0
629,49,1969,Blancs et nuls,7104,10925.0
630,49,1969,Inscrits,343511,343511.0
631,49,1969,Exprimés,256333,246086.0
632,108,1969,Inscrits,639372,639372.0
633,108,1969,Votants,504547,421496.0
634,108,1969,Blancs et nuls,14692,25140.0
635,108,1969,Exprimés,489855,396356.0
636,54,1969,Inscrits,133204,133204.0
637,54,1969,Blancs et nuls,1640,5250.0
638,54,1969,Votants,105950,102273.0
639,54,1969,Exprimés,104310,97023.0
640,113,1969,Votants,247127,219698.0
641,113,1969,Blancs et nuls,2858,13634.0
642,113,1969,Exprimés,244269,206064.0
643,113,1969,Inscrits,334460,334460.0
644,114,1969,Inscrits,272996,272996.0
645,114,1969,Blancs et nuls,3087,11110.0
646,114,1969,Exprimés,210608,175350.0
647,114,1969,Votants,213695,186460.0
648,115,1969,Inscrits,166938,166938.0
649,115,1969,Blancs et nuls,1151,5452.0
650,115,1969,Exprimés,121473,105017.0
651,115,1969,Votants,122624,110469.0
