id_loc,Annee,id_cndt,1_tour,2_tour
81,1969,21,10193,
82,1969,37,1681,
82,1969,22,2476,
82,1969,23,16610,
82,1969,57,117403,126858.0
82,1969,56,54417,69898.0
82,1969,21,7769,
82,1969,60,6931,
83,1969,22,2798,
83,1969,56,46044,68869.0
83,1969,60,7596,
83,1969,21,10252,
83,1969,23,46581,
83,1969,57,91069,98525.0
83,1969,37,2141,
85,1969,22,1713,
85,1969,21,4463,
85,1969,57,67431,72709.0
85,1969,23,11291,
85,1969,60,3534,
85,1969,37,943,
85,1969,56,35902,43435.0
87,1969,57,126763,135757.0
87,1969,60,11729,
87,1969,56,72624,97706.0
87,1969,22,3186,
87,1969,21,10885,
87,1969,23,60034,
87,1969,37,3516,
88,1969,57,46643,49877.0
88,1969,21,3052,
88,1969,37,1685,
88,1969,22,1434,
88,1969,23,13470,
88,1969,56,24720,33910.0
88,1969,60,2881,
89,1969,56,59586,78312.0
89,1969,22,2708,
89,1969,23,40349,
89,1969,21,9263,
89,1969,57,146901,158126.0
89,1969,37,1896,
89,1969,60,6971,
90,1969,60,13071,
90,1969,57,189268,202958.0
90,1969,23,53279,
90,1969,21,10433,
90,1969,56,95833,132139.0
90,1969,37,6092,
90,1969,22,4183,
91,1969,21,7754,
91,1969,23,30962,
91,1969,22,1381,
91,1969,60,3437,
91,1969,57,42384,48061.0
91,1969,37,1188,
91,1969,56,32429,57530.0
93,1969,37,10357,
93,1969,22,19498,
93,1969,60,36527,
93,1969,23,292022,
93,1969,21,79019,
93,1969,56,186376,341156.0
93,1969,57,463255,504348.0
96,1969,37,2887,
96,1969,22,3825,
96,1969,23,57034,
96,1969,60,9287,
96,1969,21,10306,
96,1969,56,52081,81818.0
96,1969,57,99479,107086.0
97,1969,56,44185,56251.0
97,1969,22,1976,
97,1969,57,61860,68427.0
97,1969,37,1166,
97,1969,23,15017,
97,1969,60,4273,
97,1969,21,4706,
98,1969,21,65216,
98,1969,22,9151,
98,1969,56,258605,373744.0
98,1969,57,495648,524353.0
98,1969,37,16280,
98,1969,23,203989,
98,1969,60,46910,
99,1969,22,15931,
99,1969,56,114590,217502.0
99,1969,37,6394,
99,1969,60,20119,
99,1969,23,179256,
99,1969,57,247358,273985.0
99,1969,21,47141,
102,1969,60,10404,
102,1969,23,54853,
102,1969,37,2505,
102,1969,21,17763,
102,1969,22,3220,
102,1969,57,108421,121627.0
102,1969,56,46204,80729.0
104,1969,23,33189,
104,1969,37,2687,
104,1969,57,122615,136804.0
104,1969,21,13122,
104,1969,22,2430,
104,1969,56,60174,91064.0
104,1969,60,8352,
105,1969,23,34887,
105,1969,60,3744,
105,1969,22,1411,
105,1969,37,1369,
105,1969,56,28951,50136.0
105,1969,57,47453,55543.0
105,1969,21,5379,
108,1969,60,21629,
108,1969,23,95391,
108,1969,57,211940,225884.0
108,1969,37,4242,
108,1969,56,129585,170472.0
108,1969,22,6261,
108,1969,21,20807,
113,1969,56,60338,89493.0
113,1969,37,2059,
113,1969,57,104896,116571.0
113,1969,23,56397,
113,1969,60,7260,
113,1969,22,3056,
113,1969,21,10263,
114,1969,56,56730,80492.0
114,1969,57,86761,94858.0
114,1969,23,45388,
114,1969,21,9745,
114,1969,22,2872,
114,1969,37,1703,
114,1969,60,7409,
115,1969,37,1291,
115,1969,23,24448,
115,1969,21,4797,
115,1969,22,1675,
115,1969,57,53604,59141.0
115,1969,60,5076,
115,1969,56,30582,45876.0
118,1969,23,61506,
118,1969,57,118151,126103.0
118,1969,60,9520,
118,1969,37,3003,
118,1969,22,4147,
118,1969,56,60524,88703.0
118,1969,21,9789,
119,1969,57,205916,220054.0
119,1969,56,104162,159803.0
119,1969,37,5009,
119,1969,23,132556,
119,1969,21,22095,
119,1969,22,7283,
119,1969,60,19858,
120,1969,57,169296,171383.0
120,1969,23,192502,
120,1969,21,19875,
120,1969,22,5457,
120,1969,60,20588,
120,1969,56,84970,117073.0
120,1969,37,5679,
121,1969,23,72738,
121,1969,21,10956,
121,1969,22,4646,
121,1969,37,2847,
121,1969,60,8322,
121,1969,57,100497,110987.0
121,1969,56,51308,91152.0
122,1969,22,1891,
122,1969,37,1822,
122,1969,56,42793,71602.0
122,1969,21,11169,
122,1969,60,5621,
122,1969,57,77305,87051.0
122,1969,23,31503,
123,1969,22,1197,
123,1969,60,3025,
123,1969,57,38198,43418.0
123,1969,21,4835,
123,1969,37,954,
123,1969,23,15368,
123,1969,56,25819,40806.0
124,1969,56,11360,18428.0
124,1969,23,8976,
